Name,Ticker,Price,One-Year Price Return,Six-Month Price Return,Three-Month Price Return,One-Month Price Return
3M,MMM,118.43,-33.65,-10.37,4.7,-1.97
A. O. Smith,AOS,57.79,-27.35,0.49,18.52,2.57
Abbott,ABT,111.8,-11.31,1.7,17.42,4.99
AbbVie,ABBV,148.71,9.98,-0.69,4.04,-7.39
Accenture,ACN,272.89,-20.61,-2.55,4.24,4.2
Activision Blizzard,ATVI,73.76,-10.21,-6.19,0.61,-2.79
ADM,ADM,85.31,20.15,15.55,-3.42,-8.21
Adobe Inc.,ADBE,342.53,-33.69,-11.68,13.28,1.27
ADP,ADP,233.32,3.78,6.56,1.67,-4.34
Advance Auto Parts,AAP,143.27,-38.86,-24.85,-15.86,2.79
AES Corporation,AES,26.64,15.47,29.19,13.46,-6.06
Aflac,AFL,70.68,12.62,28.58,19.49,0.03
Agilent Technologies,A,152.87,8.86,28.4,21.38,3.34
Air Products and Chemicals,APD,299.89,5.01,30.39,25.84,-4.05
Akamai,AKAM,86.59,-23.49,-3.2,2.89,2.47
Alaska Air Group,ALK,49.4,-9.14,15.45,23.87,14.7
Albemarle Corporation,ALB,239.11,8.84,13.04,-6.37,2.4
Alexandria Real Estate Equities,ARE,154.34,-25.2,5.31,19.42,6.54
Align Technology,ALGN,236.3,-52.51,-11.6,19.17,17.71
Allegion,ALLE,108.26,-11.93,7.73,20.56,3.62
Alliant Energy,LNT,53.21,-10.45,-6.93,9.26,-1.74
Allstate,ALL,124.64,3.07,1.64,5.89,-6.76
Alphabet Inc. (Class A),GOOGL,93.05,-31.14,-18.24,-6.92,4.53
Alphabet Inc. (Class C),GOOG,93.91,-30.77,-18.07,-6.59,4.78
Altria,MO,44.54,-11.08,3.68,2.25,-4.09
Amazon,AMZN,93.68,-40.06,-20.75,-18.72,9.97
Amcor,AMCR,11.75,-5.32,-6.97,7.9,-2.49
AMD,AMD,67.71,-47.21,-21.16,17.21,4.09
Ameren,AEE,86.04,-1.83,-0.5,12.29,-1.33
American Airlines Group,AAL,16.28,-5.95,7.39,20.95,29.93
American Electric Power,AEP,91.63,1.47,-2.09,9.17,-2.18
American Express,AXP,146.85,-9.01,-0.63,3.11,0.79
American International Group,AIG,61.72,4.89,19.29,19.04,-1.72
