Name,Ticker,Price,Price-to-Earnings Ratio,Price-to-Book Ratio,Price-to-Sales Ratio,EV/EBITDA,EV/FCF
3M,MMM,163.1,15.95,6.28,2.67,11.26,18.49
A. O. Smith,AOS,75.5,25.07,6.67,3.45,16.94,21.18
Abbott,ABT,125.35,31.4,6.2,5.15,18.83,26.74
AbbVie,ABBV,137.92,21.09,15.8,4.33,12.97,14.11
Accenture,ACN,319.92,34.38,10.4,4.02,20.61,23.63
Activision Blizzard,ATVI,79.14,22.61,3.47,6.93,14.65,23.22
ADM,ADM,75.92,15.58,1.88,0.5,11.4,9.56
Adobe Inc.,ADBE,567.06,56.09,18.28,17.14,41.07,39.42
ADP,ADP,209.63,34.39,15.76,5.96,22.93,34.84
Advance Auto Parts,AAP,231.51,25.83,5.09,1.45,16.93,22.72
AES Corporation,AES,22.15,-35.59,5.2,1.31,22.67,-150.99
Aflac,AFL,62.35,10.29,1.34,2.03,8.53,9.39
Agilent Technologies,A,150.9,37.91,8.51,7.26,26.74,36.36
Air Products and Chemicals,APD,299.81,31.65,4.91,6.44,17.44,79.97
Akamai,AKAM,112.17,27.97,4.02,5.27,15.37,23.91
Alaska Air Group,ALK,52.25,13.49,1.7,1.04,8.83,13.64
Albemarle Corporation,ALB,206.23,177.43,3.9,6.59,51.27,-39.42
Alexandria Real Estate Equities,ARE,189.56,41.85,1.48,11.31,21.36,32.44
Align Technology,ALGN,463.96,47.33,10.09,9.24,35.11,30.31
Allegion,ALLE,121.21,23.16,14.74,3.9,18.62,27.6
Alliant Energy,LNT,59.31,22.02,2.48,4.04,14.79,38.97
Allstate,ALL,120.86,23.55,1.5,0.75,12.49,9.03
Alphabet Inc. (Class A),GOOGL,133.35,1.17,0.35,0.35,0.93,1.44
Alphabet Inc. (Class C),GOOG,133.29,1.17,0.35,0.34,0.93,1.44
Altria,MO,50.48,37.19,-57.31,4.36,21.98,14.03
Amazon,AMZN,143.98,2.16,0.52,0.15,2.05,-10.33
Amcor,AMCR,11.56,19.09,3.76,1.39,12.37,24
AMD,AMD,116.53,43.63,18.4,8.4,32.62,42.27
Ameren,AEE,87.65,21.87,2.23,3.39,12.56,-18.93
American Airlines Group,AAL,15.64,-3.8,-1.03,0.25,33.69,183.12
American Electric Power,AEP,90.13,17.96,1.99,2.66,11.82,-42.06
American Express,AXP,177.06,17.68,6.43,3.3,11.85,12.37
American International Group,AIG,56.96,5.27,0.75,0.95,4.43,12.34
American Tower,AMT,246.77,42.64,21.55,11.7,26.44,46.33
American Water Works,AWK,157.84,22.62,3.91,7.27,14.75,-91.47
Ameriprise Financial,AMP,298.09,12.38,6.01,2.53,9.07,8.28
AmerisourceBergen,ABC,122.02,16.32,112.5,0.12,10.04,13.13
Ametek,AME,134.99,31.28,4.51,5.58,20.82,31.64
Amgen,AMGN,229.14,22.79,20.04,5.17,14.13,19.04
Amphenol,APH,77.11,19.16,7.23,4.23,21.84,42.61
Analog Devices,ADI,183.2,52.37,1.92,9.95,30.01,32.47
Ansys,ANSS,322.77,60.94,6.18,14.53,43.96,52.99
Aon,AON,270.18,49.92,59.05,5.14,28.71,35.47
APA Corporation,APA,33.17,11.05,-7.86,1.57,5.7,8.33
Apple Inc.,AAPL,148.64,26.22,39.35,6.79,20.89,27.67
Applied Materials,AMAT,147.19,22.75,10.94,5.81,18.2,28.22
Aptiv,APTV,130.98,58.48,4.13,2.21,22.14,58.68
Arch Capital Group,ACGL,45.38,8.48,1.35,2.05,8.04,5.95
Arista Networks,ANET,120.19,43.44,9.18,12.39,36.39,37.81
Arthur J. Gallagher & Co.,AJG,154.54,32.55,3.47,3.6,20.77,22.66
Assurant,AIZ,151.05,6.62,1.65,0.89,5.06,15.55
AT&T,T,19.04,6.79,0.82,0.81,5.7,12.39
Atmos Energy,ATO,92.12,17.96,1.51,3.51,14.05,-6.35
Autodesk,ADSK,216.51,95.71,56.02,10.84,68.88,33.52
AutoZone,AZO,1691.33,17.33,-20.92,2.57,13.3,15.42
AvalonBay Communities,AVB,243.36,34.03,3.13,14.89,21.04,39.47
Avery Dennison,AVY,199.5,22.41,8.62,1.97,14.99,25.21
Baker Hughes,BKR,27.16,-83.71,1.09,0.89,10.91,11.57
Ball Corporation,BALL,179.99,27.47,-1.24,4.56,17.56,76617.64
Bank of America,BAC,45.87,12.56,1.49,4.51,8.62,-48.66
"Bath & Body Works, Inc.",BBWI,179.99,27.47,-1.24,4.56,17.56,76617.64
Baxter International,BAX,85.29,33.81,4.78,3.4,22.94,39.74
Becton Dickinson,BDX,233.75,32.32,2.86,3.34,16.64,24.28
Berkley,WRB,56.44,15.48,2.38,1.67,11.3,8.28
Berkshire Hathaway,BRK-B,312.9,8.33,1.48,2.11,6.17,29.62
Best Buy,BBY,96.64,9.72,7.9,0.46,6.32,76617.64
Bio-Rad,BIO,593,4.16,1.29,6.04,3.12,32.49
Bio-Techne,TECH,482.24,133.08,11.96,20.07,75.42,61.41
Biogen,BIIB,225.21,23.29,3.33,3.3,17.69,12.43
BlackRock,BLK,808.14,21.02,3.28,6.4,14.4,26.55
BNY Mellon,BK,58.48,13.86,1.21,3.33,-6.32,-26.22
Boeing,BA,190.57,-25.79,-7.22,1.74,-1333.46,-36.1
Booking Holdings,BKNG,2412.94,84.87,16,9.02,41.29,39.36
BorgWarner,BWA,42.66,18.98,1.47,0.69,8.23,20.18
Boston Properties,BXP,113.3,35.03,3.03,6.13,18.55,1419.94
Boston Scientific,BSX,42.74,58.16,3.64,5.09,27.11,51.73
Bristol Myers Squibb,BMY,64.91,20.9,4.07,3.16,9.43,11.63
Broadcom Inc.,AVGO,553.68,33.7,9.08,8.27,17.33,19.11
Broadridge Financial Solutions,BR,173.49,36.66,11.09,4.02,24.61,44.47
Brown & Brown,BRO,64.38,30.08,4.21,5.8,19.27,21.2
Brown–Forman,BF-B,179.99,27.47,-1.24,4.56,17.56,76617.64
C.H. Robinson,CHRW,104.1,16.34,6.82,0.6,13.43,655.78
Cadence Design Systems,CDNS,152.14,59.79,15.18,13.92,44.73,39.63
Caesars Entertainment,CZR,72.97,-9.31,2.12,0.99,16.37,102
Camden Property Trust,CPT,158.33,53.14,3.85,14.12,22.71,125.76
Campbell Soup Company,CPB,41.73,12.62,4.01,1.49,9.62,23.51
Capital One,COF,142.62,4.86,0.99,1.98,3.87,6.56
Cardinal Health,CAH,59.38,28.38,9.68,0.11,15.69,9.94
CarMax,KMX,101.53,14.39,3.16,0.52,17.11,-12.51
Carnival,CCL,20.53,-2.43,1.9,12.08,-8.57,-6.31
Carrier Global,CARR,179.99,27.47,-1.24,4.56,17.56,76617.64
Catalent,CTLT,119.81,34.41,4.71,5.03,20.19,-88.89
Caterpillar Inc.,CAT,201.16,16.87,6.64,2.15,12.46,29.2
Cboe Global Markets,CBOE,116.32,23.99,3.52,3.63,14.18,25.24
CBRE Group,CBRE,98.33,17.96,3.87,1.19,11.66,16.13
CDW,CDW,184.53,26.62,37.29,1.26,20.18,48.35
Celanese,CE,153.18,9.55,4.31,2.11,8.07,16.83
